Probability,Num Builders,Num Searchers,Avg Bid,Avg Rebate,Avg Reward Builders,Avg Reward Searchers,Avg Reward Proposers
0.5,5,5,0.5045880547653601,0.7245806451612903,0.01278947976297277,0.03872666303015292,0.2587325507563972
0.5,6,4,0.5284990533077746,0.7520688172043011,0.009153886435420106,0.042645772120953426,0.2580789396393668
0.5,7,3,0.45358576514671956,0.6926995391705069,0.010775869043569817,0.053138395700125074,0.23369626689362683
0.5,8,2,0.36198154012297357,0.6282282258064515,0.009203911400798251,0.06297729063081549,0.21275645354893533
0.5,9,1,0.2732096984280689,0.5736444444444444,0.008658280311355846,0.07769854350751064,0.19817985173201846
0.6,1,9,0.501142579939627,0.02331612903225806,0.27198041700585907,0.020983435609932342,0.0
0.6,2,8,0.5603285530210446,0.6279483870967741,0.03841510853205613,0.027058400560275336,0.2353669063728589
0.6,3,7,0.5493221683272002,0.6861139784946236,0.02016184614825285,0.02697990128998215,0.26153462398087834
0.6,4,6,0.5275242659973404,0.6890096774193549,0.016753000982400044,0.03004513123464697,0.25366236843931816
0.6,5,5,0.521530519617258,0.6740619354838709,0.014272624678080454,0.0333272688867438,0.24724888242019935
0.6,6,4,0.47759869302002345,0.6717913978494623,0.011574567207551307,0.038519839200605685,0.23284472354248908
0.6,7,3,0.4798970175513396,0.6773797235023041,0.00749897601024023,0.04444173734213117,0.22693163311869052
0.6,8,2,0.4219478904861971,0.674841935483871,0.010767967228394293,0.05652829158220492,0.21397996561792576
0.6,9,1,0.3217663896101426,0.5781254480286738,0.008700923399235113,0.06480298944472287,0.1986249324449157
0.7,1,9,0.5659515196623406,0.022399999999999996,0.27627385988476266,0.0165126694001466,0.0
0.7,2,8,0.5790461998174296,0.5876741935483871,0.040477869403022615,0.023524539261358113,0.21685471757487246
0.7,3,7,0.5608109676387003,0.6711053763440861,0.01851347017711647,0.023202614904080533,0.24067074664113725
0.7,4,6,0.5597230147725052,0.6294338709677418,0.01668592611287483,0.02447104065411875,0.24252185779373506
0.7,5,5,0.5414386498123662,0.66596,0.014737108176450348,0.028783457480077407,0.2337309697669502
0.7,6,4,0.5367861926724227,0.6623021505376345,0.012017708797883619,0.03160216380771473,0.22772280590978294
0.7,7,3,0.548728975309887,0.6627566820276498,0.009451641498205892,0.03618913084393453,0.2268317434892777
0.7,8,2,0.4848942903122154,0.5984048387096774,0.009544639286040069,0.04186685070175888,0.20970405043468085
0.7,9,1,0.3848920683641584,0.5693913978494624,0.009009391706200968,0.05116217481080339,0.20207255533358953
0.8,1,9,0.5788155254650494,0.04094193548387096,0.24471595641561938,0.01485966444967412,0.0
0.8,2,8,0.6162555164265947,0.5992225806451612,0.033895979145496316,0.01881029701867292,0.21414231539093534
0.8,3,7,0.6059155280735655,0.6872021505376343,0.017485002601791803,0.018488979936684854,0.23840239586974915
0.8,4,6,0.5665588161843708,0.6266290322580645,0.016971832184490027,0.020892454052042632,0.22435900083209798
0.8,5,5,0.5994686555567967,0.6247522580645162,0.012742605161639626,0.02159856622079951,0.22974558215916954
0.8,6,4,0.5915596103730357,0.6027860215053763,0.010646559438225223,0.024706687849339586,0.22377185076494532
0.8,7,3,0.5507945895696432,0.6229142857142856,0.011803028704868958,0.02777407845359727,0.21411758251673044
0.8,8,2,0.47372456753482395,0.5775927419354838,0.010227341487105397,0.03248448059638698,0.20177829694437716
0.8,9,1,0.4955364284005241,0.5217075268817204,0.00866101281552808,0.036414440387713784,0.198831510822102
0.9,1,9,0.6566828425584886,0.014206451612903223,0.24776684976729033,0.010097745235938085,0.0
0.9,2,8,0.6173891261592662,0.568158064516129,0.036193757625243364,0.01601550456321412,0.19102974213582385
0.9,3,7,0.6297212025245728,0.632589247311828,0.017335635727500884,0.014024599788134159,0.21544013510431195
0.9,4,6,0.6373918353578685,0.6224,0.014364993794165596,0.015005803182370497,0.21878776680672196
0.9,5,5,0.6449220027292669,0.6332038709677419,0.012260561663306063,0.015335876754434052,0.21592239107406636
0.9,6,4,0.5891395249907596,0.60447311827957,0.011510735652786366,0.01746854628256462,0.20546064442382056
0.9,7,3,0.6073751710664788,0.5493640552995391,0.01061784294622774,0.01749372330292759,0.20881064664137244
0.9,8,2,0.5532376300846692,0.5491645161290323,0.010083655211192139,0.018916300088624417,0.19909677903351725
0.9,9,1,0.5831622297997008,0.5093734767025089,0.008543310411667976,0.022092972742392806,0.20051059985837583
1.0,1,9,0.7492743402897561,0.019916129032258062,0.22832813753518816,0.006372904768256515,0.0
1.0,2,8,0.7079836972340443,0.5508741935483872,0.026504681970820437,0.008592655492224616,0.18514660634667324
1.0,3,7,0.6853612014295942,0.5978795698924732,0.0145079379637537,0.0068710558517927536,0.1946762574653091
1.0,4,6,0.7079577566414933,0.5602451612903225,0.012665878067154471,0.005434479945846428,0.20269238757656766
1.0,5,5,0.707558444884037,0.5940464516129033,0.009619802740789347,0.004865751580631779,0.2020556217249275
1.0,6,4,0.6605608673104234,0.4947322580645161,0.010212554731338317,0.005224982319429819,0.19911996957279346
1.0,7,3,0.6803247147477446,0.5075188940092166,0.008673945252653997,0.004939854859146195,0.19689070936487757
1.0,8,2,0.6815225491399535,0.4846879032258064,0.00836621512654475,0.004266779041730085,0.1962083983702349
1.0,9,1,0.7059043361754666,0.5244193548387097,0.0070296804796657845,0.0041290578583453395,0.19255285637441497
